,incident_number,year,recovery_date,ucr_category,firearm_category,firearm_subcategory,firearm_manufacturer,firearm_model,firearm_caliber,address_geocode_type,block_address,street_address,city,state,zipcode,longitude,latitude,person_recovered_from_race,person_recovered_from_sex,person_recovered_from_age,confidence
5898,80-16-017929,2016,2016-03-02,Robbery,Pistol,Revolver,Charter_2000,,,BLOCK,1900 Block Beech St,1500_Frankfort_Ave,Louisville,KY,40210,-85.70275600000001,38.253079,Black,M,19.0,0.728
5899,80-16-017929,2016,2016-03-02,Robbery,,,Charter_2000,,,BLOCK,1900 Block Beech St,1900_Beech_St,Louisville,KY,40210,-85.80569200000001,38.222094,Black,M,19.0,0.528
5900,80-16-018171,2016,2016-03-02,Wpns_Law_Violation,,,,H_&_R,,BLOCK,5300 Block S 3Rd St,5300_S_3rd_St,Louisville,KY,40214,-85.768641,38.171134,Hispanic,M,44.0,1.0
5901,80-16-018083,2016,2016-03-02,Wpns_Law_Violation,Pistol,Semi-Automatic,Sig-Sauer,,40C,,De Mel Ave / Gagel Ave,,Louisville,KY,40216,,,Black,M,23.0,
5902,80-16-017536,2016,2016-02-29,Narcotics,Pistol,Semi-Automatic,Taurus_International,Pt709,9MM,BLOCK,3200 Block Vermont Ave,3200_Vermont_Ave,Louisville,KY,40211,-85.818309,38.257018,White,M,62.0,0.528
5903,80-16-016990,2016,2016-02-29,Aggravated_Assault,,,Smith_&_Wesson,,,BLOCK,600 Block W Jefferson,600_W_Jefferson,Louisville,KY,40202,-85.761323,38.253961,,,,0.74
5904,80-16-017442,2016,2016-02-29,Wpns_Law_Violation,Pistol,Semi-Automatic,Hipoint,Cf-380,380C,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,,,,1.0
5905,80-16-017300,2016,2016-02-28,Aggravated_Assault,Pistol,Semi-Automatic,Smith_&_Wesson,Pistols:_Sigma,9MM,,S 6Th St / W Breckinridge St,,Louisville,KY,40203,,,Black,M,38.0,
5906,80-16-017256,2016,2016-02-28,Wpns_Law_Violation,Pistol,Semi-Automatic,Hipoint,,9MM,,Wf - Big Four Bridge,,Louisville,KY,40206,,,Black,M,20.0,
5907,80-16-016830,2016,2016-02-27,Wpns_Law_Violation,Pistol,Semi-Automatic,Ruger,Sr9,9MM,BLOCK,1200 Block Sherry St,1200_Sherry_St,Louisville,KY,40217,-85.73561099999999,38.223484,Black,M,15.0,0.883
5909,80-16-016830,2016,2016-02-25,Wpns_Law_Violation,Pistol,Semi-Automatic,Ruger,Sr9,9MM,BLOCK,1200 Block Sherry St,1200_Sherry_St,Louisville,KY,40217,-85.73561099999999,38.223484,Black,M,15.0,0.883
5911,80-16-017047,2016,2016-02-27,Intimidation,Pistol,Semi-Automatic,Jimenez_Arms,,380C,BLOCK,1600 Block Brashear Dr,1600_Brashear_Dr,Louisville,KY,40210,-85.776724,38.226015000000004,Black,M,28.0,0.528
5912,80-16-017009,2016,2016-02-27,Aggravated_Assault,Rifle,Bolt_Action,Marlin_Firearms_Co.,,22C,BLOCK,1800 Block Deer Park Ave,1800_Deer_Park_Ave,Louisville,KY,40205,-85.707287,38.225895,White,M,38.0,1.0
5913,80-16-017012,2016,2016-02-27,Narcotics,Shotgun,Pump_Action,,,12GA,BLOCK,3300 Block Taylor Blvd,3300_Taylor_Blvd,Louisville,KY,40215,-85.781778,38.202234999999995,Black,M,25.0,1.0
5916,80-16-017012,2016,2016-02-27,Narcotics,Rifle,Semi-Automatic,Romarm/Cugir,,762M,BLOCK,3300 Block Taylor Blvd,3300_Taylor_Blvd,Louisville,KY,40215,-85.781778,38.202234999999995,Black,M,25.0,1.0
5919,80-16-017012,2016,2016-02-27,Narcotics,Pistol,Semi-Automatic,Taurus_International,Taurus,9MM,BLOCK,3300 Block Taylor Blvd,3300_Taylor_Blvd,Louisville,KY,40215,-85.781778,38.202234999999995,Black,M,25.0,1.0
5922,80-16-016788,2016,2016-02-27,Wpns_Law_Violation,Pistol,Revolver,Rossi_-_Amadeo_Rossi_&_Co,M6B,38C,BLOCK,3700 Block 7Th Street Rd,3700_7th_Street_Rd,Louisville,KY,40216,-85.846336,38.196771000000005,Black,M,18.0,0.882
5923,80-16-016829,2016,2016-02-27,Wpns_Law_Violation,Pistol,Semi-Automatic,American_Tactical_Imports_(Ati),M1911,45C,BLOCK,400 Block S 4Th St,400_S_4th_St,Louisville,KY,40202,-85.757409,38.252886,White,M,25.0,1.0
5924,80-16-017041,2016,2016-02-27,Wpns_Law_Violation,Pistol,Semi-Automatic,Ruger,,380C,BLOCK,4300 Block Shady Villa Dr,4300_Shady_Villa_Dr,Louisville,KY,40219,-85.68121500000001,38.16283,Black,M,24.0,0.728
5925,80-16-016846,2016,2016-02-27,Intimidation,Pistol,Semi-Automatic,Sig-Sauer,P250,357C,BLOCK,900 Block Baxter Ave,900_Baxter_Ave,Louisville,KY,40204,-85.726448,38.242494,White,M,32.0,1.0
5926,80-16-016538,2016,2016-02-26,Aggravated_Assault,Pistol,Bolt_Action,,,762M,BLOCK,2600 Block W Broadway,2600_W_Broadway,Louisville,KY,40211,-85.795188,38.248998,Black,M,30.0,1.0
5928,80-16-016538,2016,2016-02-26,Aggravated_Assault,Pistol,Semi-Automatic,"Glock,_Inc.",,357C,BLOCK,2600 Block W Broadway,2600_W_Broadway,Louisville,KY,40211,-85.795188,38.248998,Black,M,30.0,1.0
5930,80-16-016626,2016,2016-02-26,Wpns_Law_Violation,Pistol,Semi-Automatic,Hipoint,,9MM,BLOCK,400 Block N 26Th St,400_N_26th_St,Louisville,KY,40212,-85.79266899999999,38.267185,White,M,40.0,1.0
5931,80-16-016786,2016,2016-02-26,Narcotics,Shotgun,Pump_Action,"Remington_Arms_Co.,_Inc.",,12GA,BLOCK,6100 Block Dutchmans Ln,6100_Dutchmans_Ln,Louisville,KY,40205,-85.639477,38.228336,Black,M,17.0,1.0
5933,80-16-016786,2016,2016-02-26,Narcotics,Pistol,Semi-Automatic,,,45C,BLOCK,6100 Block Dutchmans Ln,6100_Dutchmans_Ln,Louisville,KY,40205,-85.639477,38.228336,Black,M,17.0,1.0
5935,80-16-016548,2016,2016-02-26,Wpns_Law_Violation,Pistol,Semi-Automatic,Hipoint,C9,9MM,,S 13Th St,,Louisville,KY,40210,,,Black,M,18.0,
5936,80-16-014775,2016,2016-02-25,Narcotics,Shotgun,Single-Shot,Harrington_&_Richardson,,20GA,BLOCK,1100 Block S Shelby St,1100_S_Shelby_St,Louisville,KY,40203,-85.7415,38.234623,Black,M,33.0,1.0
5937,80-16-016271,2016,2016-02-25,Wpns_Law_Violation,Pistol,Semi-Automatic,Smith_&_Wesson,Pistols:_59,9MM,BLOCK,1700 Block Valley Forge Way,1700_Valley_Forge_Way,Louisville,KY,40215,-85.794658,38.195723,Black,M,31.0,0.528
5938,80-16-016400,2016,2016-02-25,Stolen_Property,Pistol,Revolver,Taurus_Internat,The_Judge,45C,BLOCK,2100 Block Dixie Hwy,2100_Dixie_Hwy,Louisville,KY,40210,-85.788493,38.234225,,,,0.528
5939,80-16-016255,2016,2016-02-25,Narcotics,Pistol,Semi-Automatic,Glock_Gmbh,Model_19/19C_(9,9MM,BLOCK,2400 Block Nichols View Ct,2400_Nichols_View_Ct,Louisville,KY,40215,-85.794865,38.193318,Black,M,26.0,1.0
5940,80-16-016407,2016,2016-02-25,Narcotics,Pistol,Semi-Automatic,Smith_&_Wesson,,9MM,BLOCK,3800 Block Vermont Ave,3800_Vermont_Ave,Louisville,KY,40211,-85.81398100000001,38.256093,White,M,35.0,1.0
5941,80-16-016283,2016,2016-02-25,Wpns_Law_Violation,,,Taurus_International,Taurus,,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40218,-85.761323,38.253961,Black,M,20.0,1.0
5942,80-16-016263,2016,2016-02-25,Fraud_Impersonation,Pistol,Semi-Automatic,Iver_Johnson,Tp22,22C,BLOCK,6700 Block Bardstown Rd,6700_Bardstown_Rd,Louisville,KY,40291,-85.55530999999999,38.080071999999994,White,M,36.0,0.528
5943,80-16-015980,2016,2016-02-24,Wpns_Law_Violation,Pistol,Semi-Automatic,"Keltec,_Cnc_Industries,_Inc",,3220,BLOCK,2300 Block Brownsboro Rd,2300_Brownsboro_Rd,Louisville,KY,40206,-85.703227,38.258167,White,M,29.0,1.0
5944,80-16-015913,2016,2016-02-23,Aggravated_Assault,Pistol,Semi-Automatic,"Springfield_Armory,Geneseo,Il",,9MM,BLOCK,1400 Block S 4Th St,1400_S_4th_St,Louisville,KY,40208,-85.761794,38.228925,White,M,29.0,1.0
5945,80-16-015923,2016,2016-02-23,Wpns_Law_Violation,Pistol,Derringer,Davis_Industries,,22C,BLOCK,3800 Block Vermont Ave,3800_Vermont_Ave,Louisville,KY,40211,-85.81398100000001,38.256093,Black,M,29.0,1.0
5948,80-16-015923,2016,2016-02-23,Wpns_Law_Violation,Rifle,Bolt_Action,Winchester,,22C,BLOCK,3800 Block Vermont Ave,3800_Vermont_Ave,Louisville,KY,40211,-85.81398100000001,38.256093,Black,M,29.0,1.0
5951,80-16-015923,2016,2016-02-23,Wpns_Law_Violation,Shotgun,Pump_Action,Revelation,,12GA,BLOCK,3800 Block Vermont Ave,3800_Vermont_Ave,Louisville,KY,40211,-85.81398100000001,38.256093,Black,M,29.0,1.0
5954,80-16-015709,2016,2016-02-23,Wpns_Law_Violation,Pistol,Semi-Automatic,Hipoint,Cf-380,380C,BLOCK,600 Block S 41St St,600_S_41st_St,Louisville,KY,40211,-85.82302299999999,38.228156,Black,M,25.0,0.528
5956,80-16-015709,2016,2016-02-23,Wpns_Law_Violation,Pistol,Semi-Automatic,Taurus_International,Model_Pt99,9MM,BLOCK,600 Block S 41St St,600_S_41st_St,Louisville,KY,40211,-85.82302299999999,38.228156,Black,M,25.0,0.528
5958,80-16-015710,2016,2016-02-23,Aggravated_Assault,Pistol,Semi-Automatic,Taurus_International,Model_Pt-24/7,45C,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,Black,M,26.0,1.0
5959,80-16-015802,2016,2016-02-23,Simple_Assault,Pistol,Semi-Automatic,"Glock,_Inc.",Model_19/19C_(9,9MM,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,Black,M,23.0,1.0
5960,80-16-015601,2016,2016-02-22,Wpns_Law_Violation,Pistol,Semi-Automatic,Smith_&_Wesson,,40C,BLOCK,4500 Block W Broadway,4500_W_Broadway,Louisville,KY,40211,-85.827253,38.250198,Black,M,19.0,1.0
5961,80-16-015347,2016,2016-02-22,Aggravated_Assault,Pistol,Semi-Automatic,Sig-Sauer,Pistol:_226_Ser,10MM,BLOCK,600 Block S 11Th St,600_S_11th_St,Louisville,KY,40203,-85.768546,38.254128,Black,M,24.0,0.728
5962,80-16-015424,2016,2016-02-22,Wpns_Law_Violation,Pistol,Revolver,Hs_Products_(Im_Metal),None,22C,BLOCK,900 Block Euclid Ave,900_Euclid_Ave,Louisville,KY,40208,-85.772752,38.211459999999995,Black,M,28.0,0.528
5963,80-16-015060,2016,2016-02-21,Wpns_Law_Violation,Pistol,Semi-Automatic,"Keltec,_Cnc_Industries,_Inc",Pf-9,9MM,BLOCK,100 Block E Witherspoon St,100_E_Witherspoon_St,Louisville,KY,40202,-85.748858,38.257377000000005,Black,M,18.0,0.528
5964,80-16-015125,2016,2016-02-21,Aggravated_Assault,Pistol,Semi-Automatic,Ruger,Handguns:_P_Ser,380C,BLOCK,1500 Block Quarry St,1500_Quarry_St,Louisville,KY,40206,-85.70939200000001,38.251678999999996,White,F,28.0,0.528
