LOT #,MAKE,MODEL,CALIBER,SERIAL #,
344,KELTEC,UNKNOWN,9MM,ENB16,
345,MARLIN,60,0.22,20534489,
346,STEVENS,820B,12 GA,UNK,
347,NORINCO,UNKNOWN,7.62,23016457K,
348,H & R,UNKNOWN,0.44,HY208754,
349,ROMARN,UNK,7.62,S136101988,
350,REMINGTON,788,0.308,B6069568,
351,DTI,RECEIVER ONLY,5.56,DTI-S103888,
352,MAG TACTICAL,RECEIVER ONLY,223,MTS13705,
354,SAVAGE,110,7MM,F535496,
355,REMINGTON,870,12 GA,818288V,
356,STEVENS,258A,20 GA,UNK,
357,MOSSBERG,UNKNOWN,20 GA,J251896,
358,EW ENGLAND PARDNE,PARDNER TRACKER I,20 GA,NL386904,
359,DAISY AND HEDDON,UNK,0.22,A029761,
360,CBC,UNK,12 GA,C1253863,
361,REMINGTON,783,0.308,RA25640A,
362,MARLIN,88,0.22,UNK,
363,BENELLI,UNK,12 GA,Z225760,
364,STEVENS,940B,16 GA,UNK,
366,H & R TOPPER,88,12 GA,AS276624,
367,PANTHER ARMS,AR-15,0.223,DNWC068201,
368,REMINGTON,870,20 GA,RS60652D,
369,SPIKES TACTICAL AR15,LOWER ONLY,.223 WYLDE,75003,
370,ANDERSON ARMS AR15,UNKNOWN,223 WYLDE,14091932,
371,CVA,NGLE SHOT SHOTG,U        .410,181998,
373,H & R,TOPPER MODEL 58,0.41,AM348743,
374,MOSSBERG,185K,20 GAUGE,NO SERIAL #,
375,MERICAN GUN COMPAN,SHOTGUN,16 GAUGE,389880,
376,NORINCO,SKS RIFLE,7.62 X 39,23047517,
378,ENFIELD,0.303,0.303,L38838,
379,ALEXANDER GUN CO,12 GAUGE,12 GAUGE,191449,
380,GLENFIELD,UNKNOWN,0.22,22286790,
381,MARLIN,UNKNOWN,0.22,95619614,
382,NEW ENGLAND ARMS,12 GAUGE,12 GAUGE,NF243018,
383,SAVAGE,110,0.243,F425493,
384,REMINGTON,Nov-48,12 GAUGE,5072444,
385,NITRO HUNTER,O VISIBLE MARKING,12 GAUGE,O VISIBLE MARKINGS,
386,EW ENGLAND PARDNE,12 GAUGE,12 GAUGE,NB324271,
387,SAVAGE,187,0.22,B397757,
388,RANGER,30,16 GAUGE,U108859,
389,SS KRESGE,151,16 GAUGE,697981,
390,SAVAGE,120A,0.22,NO,
