incident_number,ucr_category,type_of_firearm,firearm_manufacturer,firearm_model,firearm_caliber,recovery_date,address_geocode_type,recovery_block_address,city,state,recovery_zipcode,person_recovered_from_race,person_recovered_from_sex,person_recovered_from_age,address_concat,x,y,longitude,latitude,confidence,source
80-11-051513,Wpns Law Violation,"Pistol, Revolver                                       ",Smith & Wesson,Magnum,357C,2011-07-02 00:00:00+00,INTERSECTION,Brothers Ave / Juneau Dr,Mtwn,KY,40243,Black,M,30,Brothers Ave / Juneau Dr Mtwn KY 40243,,,,,,
80-16-080638,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Glock Gmbh,Model 22/22c (4,40C,2016-09-20 00:00:00+00,INTERSECTION,Brown Austin Rd / Pheasant Ave,Louisville,KY,40118,Black,M,21,Brown Austin Rd / Pheasant Ave Louisville KY 40118,1204394.624,226861.0325,-85.76553338,38.11311835,,LOJIC
80-14-068493,Wpns Law Violation,"Pistol, Revolver                                       ",Harrington & Richardson,732,32C,2014-09-09 00:00:00+00,INTERSECTION,Brownsboro Rd / Kenilworth Rd,Louisville,KY,40206,Black,M,19,Brownsboro Rd / Kenilworth Rd Louisville KY 40206,1221481,279938.75,-85.70907667,38.25960954,,LOJIC
80-16-027136,Narcotics,"Pistol, Semi-automatic                                 ",,,380C,2016-04-01 00:00:00+00,INTERSECTION,Brownsboro Rd / Kenilworth Rd,Louisville,KY,40206,Black,F,20,Brownsboro Rd / Kenilworth Rd Louisville KY 40206,1221481,279938.75,-85.70907667,38.25960954,,LOJIC
80-14-004840,Wpns Law Violation,"Pistol, Semi-automatic                                 ","Skyy Industries, Llc                                   ",None,9MM,2014-01-20 00:00:00+00,INTERSECTION,Brownsboro Rd / Rebel Rd,Louisville,KY,40206,Black,M,53,Brownsboro Rd / Rebel Rd Louisville KY 40206,1227891.75,280082,-85.68676062,38.26027959,,LOJIC
80-15-081277,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Beretta (p. Or Pietro),,4570,2015-10-04 00:00:00+00,INTERSECTION,Buchanan St / E Washington St,Louisville,KY,40206,White,M,43,Buchanan St / E Washington St Louisville KY 40206,1215243.751,278726.75,-85.7307283,38.25600849,,LOJIC
80-15-081277,Wpns Law Violation,"Shotgun, Pump Action                                   ",Winchester,Shotguns: Model,12GA,2015-10-04 00:00:00+00,INTERSECTION,Buchanan St / E Washington St,Louisville,KY,40206,White,M,43,Buchanan St / E Washington St Louisville KY 40206,1215243.751,278726.75,-85.7307283,38.25600849,,LOJIC
80-10-034583,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Jennings Firear,J-22,22C,2010-05-11 00:00:00+00,INTERSECTION,Craigs Creek Dr / Hite Creek Rd,Louisville,KY,40241,White,M,18,Craigs Creek Dr / Hite Creek Rd Louisville KY 40241,,,,,,
80-15-081277,Wpns Law Violation,"Shotgun, Pump Action                                   ",Winchester,Shotguns: Model,12GA,2015-10-04 00:00:00+00,INTERSECTION,Buchanan St / E Washington St,Louisville,KY,40206,White,M,43,Buchanan St / E Washington St Louisville KY 40206,1215243.751,278726.75,-85.7307283,38.25600849,,LOJIC
80-11-056618,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Taurus Internat,Model Pt22,22C,2011-07-20 00:00:00+00,INTERSECTION,Buechel Bank Rd / Progress Blvd,Louisville,KY,40218,Black,M,19,Buechel Bank Rd / Progress Blvd Louisville KY 40218,,,,,,
80-14-071702,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Cobra Enterprises Inc,,380C,2014-09-19 00:00:00+00,INTERSECTION,Buechel Bank Rd / Sanford Ave,Louisville,KY,40218,Black,M,22,Buechel Bank Rd / Sanford Ave Louisville KY 40218,1238495.125,251445.4375,-85.6483224,38.18210061,,LOJIC
80-10-085652,Narcotics,"Pistol, Semi-automatic                                 ",Ruger,Handguns: P Ser,9MM,2010-10-28 00:00:00+00,INTERSECTION,Buechel Bank Rd / Sanford Ave,Louisville,KY,40218,Black,M,21,Buechel Bank Rd / Sanford Ave Louisville KY 40218,1238495.125,251445.4375,-85.6483224,38.18210061,,LOJIC
80-15-088045,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Springfield Arm,Pistol: Model X,40C,2015-10-30 00:00:00+00,INTERSECTION,Buechel Bank Rd / Shepherdsville Rd,Louisville,KY,40218,Black,M,32,Buechel Bank Rd / Shepherdsville Rd Louisville KY 40218,1235299.25,250282.9063,-85.65937753,38.17877489,,LOJIC
80-11-091266,Wpns Law Violation,"Pistol, Semi-automatic                                 ","Keltec, Cnc Ind                                        ",P-3at,380C,2011-11-10 00:00:00+00,INTERSECTION,Buechel Byp / Hikes Ln,Louisville,KY,40218,White,M,37,Buechel Byp / Hikes Ln Louisville KY 40218,1234934.75,257423.625,-85.66102595,38.19836584,,LOJIC
80-15-017040,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Hipoint,,9MM,2015-03-10 00:00:00+00,INTERSECTION,Buechel Byp / Progress Blvd,Louisville,KY,40218,White,F,34,Buechel Byp / Progress Blvd Louisville KY 40218,,,,,,
80-12-025153,Wpns Law Violation,"Pistol, Semi-automatic                                 ",,,45C,2012-03-31 00:00:00+00,INTERSECTION,Bunsen Pky / S Hurstbourne Pky,Louisville,KY,40220,Black,M,28,Bunsen Pky / S Hurstbourne Pky Louisville KY 40220,1257136.75,264574.125,-85.5841373,38.21890757,,LOJIC
80-12-015079,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Bryco Arms,,380C,2012-02-26 00:00:00+00,INTERSECTION,Burton Ave / Taylor Blvd,Louisville,KY,40208,Black,M,18,Burton Ave / Taylor Blvd Louisville KY 40208,1202156.25,261110.6875,-85.77528338,38.2070546,,LOJIC
80-16-108716,Wpns Law Violation,"Pistol, Revolver                                       ",Miroku Fireamr Co,Security Chief,38C,2016-12-22 00:00:00+00,INTERSECTION,Burwell Ave / Dixie Hwy,Louisville,KY,40210,Black,M,71,Burwell Ave / Dixie Hwy Louisville KY 40210,1197594.75,267916.5,-85.79155228,38.22553234,,LOJIC
80-14-072911,Wpns Law Violation,"Pistol, Revolver                                       ","Rexio, S.R.L.                                          ",,38C,2014-09-23 00:00:00+00,INTERSECTION,Caldwell St / S Clay St,Louisville,KY,40203,Black,M,20,Caldwell St / S Clay St Louisville KY 40203,1211733,272466.6875,-85.74259961,38.23866495,,LOJIC
80-14-072911,Wpns Law Violation,"Pistol, Revolver                                       ","Rexio, S.R.L.                                          ",,38C,2014-09-23 00:00:00+00,INTERSECTION,Caldwell St / S Clay St,Louisville,KY,40203,Black,M,20,Caldwell St / S Clay St Louisville KY 40203,1211733,272466.6875,-85.74259961,38.23866495,,LOJIC
80-16-068912,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Smith & Wesson,Sd9ve,9MM,2016-08-13 00:00:00+00,INTERSECTION,Caldwell St / S Clay St,Louisville,KY,40203,Black,M,20,Caldwell St / S Clay St Louisville KY 40203,1211733,272466.6875,-85.74259961,38.23866495,,LOJIC
80-11-005893,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Cobra Enterpris,Ca Series,380C,2011-01-23 00:00:00+00,INTERSECTION,Caldwell St / S Floyd St,Louisville,KY,40203,Black,M,35,Caldwell St / S Floyd St Louisville KY 40203,1209406.125,272816.375,-85.75071978,38.23952125,,LOJIC
80-11-073699,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Lorcin Engineer,L-380,38C,2011-09-14 00:00:00+00,INTERSECTION,Caldwell St / S Jackson St,Louisville,KY,40203,Black,M,17,Caldwell St / S Jackson St Louisville KY 40203,1210575.5,272638,-85.7466388,38.23908374,,LOJIC
